brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
4,1,1,1,4,1,512,0,2,64,0,2,0,0,1,48900,3,1278,135
1,1,1,0,4,1,512,0,2,64,0,0,0,0,0,40990,3,4008,519
3,1,1,0,4,1,512,0,2,64,0,0,3,0,0,41790,2,0,0
5,1,1,1,4,1,512,0,2,64,0,0,0,1,1,57999,2,10,2
3,1,1,1,8,1,512,0,2,64,0,2,3,0,0,45930,2,0,0
4,1,1,1,8,1,512,0,2,64,0,0,0,1,1,55490,3,143,15
1,1,1,0,8,1,0,1024,2,64,0,0,0,0,0,32890,2,28,4
5,1,1,0,8,1,0,1024,2,64,0,2,0,0,1,35990,3,2124,233
3,1,1,1,8,1,0,1024,2,64,0,2,3,0,0,42490,3,276,40
3,1,1,1,8,1,0,1024,2,64,0,2,3,0,0,42190,2,250,21
3,1,1,0,8,1,0,1024,2,64,0,2,0,0,1,39490,3,1917,189
4,1,1,1,8,1,0,1024,2,64,0,2,0,0,1,43690,3,4999,490
1,1,1,0,4,1,0,1024,2,64,0,0,0,0,0,35990,2,17,0
3,1,1,1,8,1,0,1024,2,32,0,0,3,0,0,43800,3,17,0
5,1,1,0,8,1,0,1024,2,32,0,0,3,0,0,38990,2,0,0
1,1,1,0,4,1,0,1024,2,64,0,2,0,0,0,34990,2,4203,490
1,1,1,1,8,1,0,1024,2,64,0,0,0,0,0,38900,2,13,0
3,1,1,0,4,1,0,1024,2,64,0,2,0,0,0,39990,2,15,1
3,1,1,0,4,1,0,1024,2,32,0,0,3,0,0,40890,3,527,46
5,1,1,0,4,1,0,1024,2,64,0,2,0,0,0,36990,2,103,10
4,1,1,1,4,1,0,1024,2,64,0,2,0,0,1,39990,2,324,45
4,1,1,1,4,1,0,1024,2,64,0,2,0,0,1,41990,3,69,5
3,1,1,1,4,1,0,1024,2,32,0,0,3,0,0,43970,2,16,0
4,1,1,1,4,1,0,1024,2,64,0,2,0,0,0,39790,2,40,3
1,1,1,0,4,1,0,1024,2,32,0,2,3,0,0,35590,2,12,1
4,1,1,0,4,1,0,1024,2,64,0,2,0,0,1,36490,2,1146,175
1,1,1,0,4,1,0,1024,2,64,0,2,0,0,1,38990,3,1850,216
1,1,1,0,4,1,0,1024,2,32,0,2,3,0,0,33990,2,43,7
3,1,1,0,4,1,0,1024,2,64,0,0,0,0,1,43400,3,231,26
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,24990,3,502,93
4,1,1,0,4,1,0,1024,2,64,0,2,0,0,1,40750,3,1096,116
3,1,1,0,4,1,0,1024,2,64,0,2,0,0,1,43000,3,313,35
1,1,1,0,4,1,0,1024,2,64,0,0,3,0,0,38000,3,7,0
3,1,1,1,8,1,0,1024,2,64,0,2,0,0,1,37990,2,265,46
